n, Bottom-up_A+C, Top-down_A+C
100, 399, 591
200, 846, 1287
300, 1222, 1807
400, 1638, 2403
500, 2080, 3055
600, 2518, 3763
700, 2913, 4311
800, 3318, 4967
900, 3753, 5651
1000, 4190, 6291
1100, 4556, 6815
1200, 4932, 7375
1300, 5288, 7851
1400, 5705, 8467
1500, 6112, 9027
1600, 6515, 9631
1700, 6905, 10223
1800, 7300, 10811
1900, 7718, 11495
2000, 8112, 12103
2100, 8602, 12831
2200, 9030, 13419
2300, 9434, 14055
2400, 9849, 14707
2500, 10283, 15371
2600, 10662, 15943
2700, 11033, 16455
2800, 11411, 17019
2900, 11839, 17651
3000, 12243, 18175
3100, 12609, 18691
3200, 13017, 19351
3300, 13453, 19999
3400, 13885, 20727
3500, 14336, 21427
3600, 14773, 22175
3700, 15175, 22747
3800, 15515, 23163
3900, 15974, 23871
4000, 16369, 24451
4100, 16754, 25067
4200, 17134, 25627
4300, 17555, 26251
4400, 18002, 26915
4500, 18378, 27423
4600, 18764, 28015
4700, 19214, 28635
4800, 19624, 29279
4900, 20018, 29847
5000, 20441, 30423
5100, 20997, 31499
5200, 21502, 32307
5300, 21918, 32911
5400, 22332, 33551
5500, 22705, 34047
5600, 23094, 34611
5700, 23522, 35195
5800, 23927, 35859
5900, 24339, 36475
6000, 24780, 37103
6100, 25192, 37735
6200, 25630, 38387
6300, 26042, 38999
6400, 26482, 39715
6500, 26885, 40279
6600, 27298, 40903
6700, 27705, 41455
6800, 28114, 42107
6900, 28587, 42807
7000, 28993, 43371
7100, 29420, 44011
7200, 29827, 44735
7300, 30250, 45363
7400, 30673, 45995
7500, 31073, 46571
7600, 31460, 47191
7700, 31835, 47783
7800, 32238, 48415
7900, 32633, 49007
8000, 33006, 49535
8100, 33434, 50247
8200, 33814, 50755
8300, 34240, 51383
8400, 34642, 52047
8500, 35039, 52615
8600, 35446, 53199
8700, 35865, 53899
8800, 36254, 54467
8900, 36681, 55111
9000, 37101, 55711
9100, 37500, 56259
9200, 37906, 56875
9300, 38325, 57499
9400, 38742, 58147
9500, 39144, 58767
9600, 39549, 59335
9700, 39936, 59899
9800, 40370, 60539
9900, 40766, 61115
10000, 41156, 61763
