n, HeapSort_A+C, QuickSort_A+C
100, 3248, 1955
200, 7506, 4605
300, 12121, 7707
400, 17045, 11618
500, 22061, 13708
600, 27245, 16511
700, 32694, 21397
800, 38062, 24983
900, 43533, 28021
1000, 49101, 31651
1100, 54829, 33169
1200, 60505, 40835
1300, 66411, 42676
1400, 72315, 45824
1500, 78349, 48846
1600, 84094, 53905
1700, 90239, 58050
1800, 96086, 61426
1900, 102085, 66724
2000, 108191, 72342
2100, 114294, 72479
2200, 120493, 82988
2300, 126791, 81756
2400, 133063, 84168
2500, 139594, 90823
2600, 145781, 98975
2700, 152177, 100883
2800, 158700, 100486
2900, 165045, 107529
3000, 171400, 109082
3100, 177890, 115829
3200, 184426, 117705
3300, 190759, 123240
3400, 197245, 121223
3500, 203765, 129113
3600, 210304, 133633
3700, 216816, 139953
3800, 223288, 149842
3900, 229781, 149992
4000, 236212, 155395
4100, 243110, 160312
4200, 249750, 163009
4300, 256479, 166033
4400, 263106, 168486
4500, 269808, 183389
4600, 276946, 179033
4700, 283430, 185591
4800, 290534, 185308
4900, 297168, 192543
5000, 303922, 197863
5100, 310866, 210314
5200, 317672, 201430
5300, 324451, 209262
5400, 331498, 212851
5500, 338255, 220413
5600, 345251, 229724
5700, 352121, 230250
5800, 359143, 226205
5900, 366039, 236787
6000, 372762, 233299
6100, 379719, 252293
6200, 386809, 251208
6300, 393772, 262371
6400, 400568, 261849
6500, 407614, 253708
6600, 414665, 265079
6700, 421668, 288978
6800, 428600, 277823
6900, 435768, 278962
7000, 442642, 280032
7100, 449665, 297108
7200, 456517, 301141
7300, 463369, 309938
7400, 470719, 305665
7500, 477580, 317368
7600, 484682, 321143
7700, 491578, 321414
7800, 498715, 324899
7900, 505842, 333412
8000, 512768, 346985
8100, 519949, 337880
8200, 526936, 350473
8300, 534186, 365066
8400, 541188, 356210
8500, 548361, 374636
8600, 555674, 362146
8700, 563005, 378689
8800, 570292, 377439
8900, 577516, 362404
9000, 585193, 387274
9100, 592077, 393087
9200, 599396, 396952
9300, 606592, 405044
9400, 613885, 416850
9500, 621140, 400142
9600, 628837, 402987
9700, 635918, 425261
9800, 643383, 417026
9900, 650489, 426167
10000, 658088, 436449
