n, OS_SELECT, OS_DELETE
100,822,1401
100,824,1371
100,806,1420
100,848,1381
100,780,1404
200,1970,3230
200,1994,3203
200,2006,3178
200,2012,3179
200,2014,3210
300,3296,5189
300,3376,5157
300,3386,5143
300,3394,5094
300,3334,5175
400,4816,7216
400,4828,7154
400,4768,7228
400,4802,7207
400,4852,7189
500,6366,9260
500,6294,9424
500,6332,9415
500,6450,9281
500,6304,9370
600,7824,11513
600,7902,11467
600,7772,11524
600,7856,11506
600,7912,11514
700,9576,13702
700,9486,13629
700,9496,13733
700,9454,13707
700,9438,13737
800,11110,16068
800,11028,16054
800,11224,15937
800,11096,15951
800,11238,15914
900,12882,18319
900,12872,18329
900,12920,18331
900,12652,18387
900,12786,18348
1000,14542,20788
1000,14554,20667
1000,14594,20734
1000,14622,20681
1000,14514,20747
1100,16310,23039
1100,16296,23047
1100,16232,23062
1100,16250,23126
1100,16328,23062
1200,18158,25339
1200,18140,25434
1200,18084,25420
1200,18240,25357
1200,18146,25397
1300,19922,27775
1300,19878,27880
1300,19916,27850
1300,20128,27748
1300,20062,27658
1400,21582,30229
1400,21516,30299
1400,21500,30266
1400,21694,30231
1400,21786,30211
1500,23412,32704
1500,23594,32642
1500,23526,32693
1500,23460,32697
1500,23458,32735
1600,25256,35182
1600,25328,35263
1600,25244,35200
1600,25350,35309
1600,25294,35212
1700,27194,37742
1700,27212,37792
1700,27108,37725
1700,27184,37843
1700,26938,37826
1800,29154,40292
1800,29076,40223
1800,29178,40241
1800,29090,40263
1800,29118,40146
1900,31126,42819
1900,30956,42844
1900,30862,43027
1900,30850,42986
1900,30740,43096
2000,33012,45498
2000,33004,45579
2000,32924,45491
2000,32758,45595
2000,32700,45575
2100,34966,47938
2100,34848,48055
2100,34868,48047
2100,34892,47997
2100,34862,48085
2200,36916,50403
2200,36764,50615
2200,37012,50590
2200,36750,50727
2200,37098,50526
2300,39086,53127
2300,38878,53053
2300,39028,52993
2300,38732,53284
2300,38912,53000
2400,41000,55597
2400,40582,55803
2400,40716,55735
2400,40862,55644
2400,40978,55637
2500,42938,58280
2500,42660,58366
2500,42858,58304
2500,42912,58155
2500,43038,58083
2600,44984,60637
2600,44740,60949
2600,44676,60922
2600,44814,60825
2600,44682,60937
2700,47026,63552
2700,47050,63289
2700,46852,63440
2700,46930,63323
2700,46724,63543
2800,48594,66220
2800,48810,66108
2800,48806,66022
2800,48990,66114
2800,48824,66136
2900,51098,68616
2900,51020,68685
2900,50952,68815
2900,51082,68624
2900,50942,68795
3000,52960,71426
3000,52864,71501
3000,53332,71359
3000,53040,71428
3000,52738,71531
3100,54912,74161
3100,55424,74043
3100,55138,73980
3100,55068,74091
3100,55004,74139
3200,57028,76900
3200,57610,76685
3200,56902,76848
3200,57046,76705
3200,56910,76885
3300,58936,79813
3300,58906,79554
3300,59482,79575
3300,59046,79525
3300,59226,79309
3400,61588,81992
3400,61414,82088
3400,61638,82143
3400,61320,82110
3400,61074,82189
3500,63638,84946
3500,63290,85178
3500,62944,85194
3500,63294,85039
3500,63192,85020
3600,65296,87944
3600,65544,87703
3600,65214,87761
3600,65316,87695
3600,65388,87775
3700,67766,90567
3700,67366,90413
3700,67284,90604
3700,67524,90560
3700,67642,90549
3800,69490,93279
3800,69668,93418
3800,69790,93238
3800,69576,93228
3800,69456,93380
3900,71438,96242
3900,71628,96140
3900,71606,96293
3900,71782,96056
3900,71834,96006
4000,74200,98732
4000,73698,99130
4000,73760,99074
4000,73636,98954
4000,73450,99140
4100,75872,101791
4100,75978,101785
4100,75592,101935
4100,75346,102080
4100,75916,101524
4200,78104,104482
4200,77980,104601
4200,78072,104334
4200,78114,104454
4200,78112,104407
4300,79988,107336
4300,79988,107178
4300,80212,107156
4300,80314,107171
4300,80102,107157
4400,82326,109899
4400,82252,110109
4400,82360,109941
4400,82588,109762
4400,82266,109877
4500,84812,112747
4500,85030,112416
4500,84856,112645
4500,84968,112561
4500,84280,112914
4600,87022,115574
4600,86880,115471
4600,86970,115470
4600,86648,115406
4600,86556,115350
4700,88822,118237
4700,89504,118025
4700,88498,118210
4700,89070,118429
4700,88932,118269
4800,90928,120994
4800,90944,121227
4800,91046,121153
4800,91264,120918
4800,90834,120909
4900,92994,123841
4900,93160,123798
4900,93230,123830
4900,93554,123650
4900,92958,123769
5000,95692,126276
5000,95680,126277
5000,95550,126433
5000,95362,126560
5000,95646,126624
5100,97906,129276
5100,97976,129165
5100,97660,129536
5100,97708,129345
5100,97798,129453
5200,100066,132010
5200,99768,132270
5200,100496,131886
5200,99798,132206
5200,99894,132222
5300,102380,134941
5300,102004,135104
5300,102294,134881
5300,102170,135177
5300,102030,134885
5400,104418,137831
5400,104232,137762
5400,104378,137709
5400,104486,137709
5400,104144,137805
5500,106608,140510
5500,106514,140818
5500,106312,140803
5500,106616,140498
5500,106732,140672
5600,108852,143566
5600,108564,143600
5600,108608,143548
5600,109060,143285
5600,108764,143518
5700,110478,146401
5700,111266,146343
5700,111082,146386
5700,110912,146331
5700,110812,146240
5800,113830,149072
5800,113054,149366
5800,113618,148999
5800,113286,149346
5800,113398,149232
5900,116052,151864
5900,115816,152080
5900,114976,152114
5900,115354,152026
5900,115190,151934
6000,117916,154908
6000,118318,154616
6000,117718,154927
6000,117716,154913
6000,117824,154914
6100,120134,157686
6100,120082,157824
6100,120356,157810
6100,120028,157865
6100,120444,157693
6200,122508,160764
6200,121794,160922
6200,122258,160658
6200,121930,160865
6200,122610,160670
6300,124916,163412
6300,124196,163810
6300,124270,163628
6300,124598,163668
6300,124480,163305
6400,126378,166836
6400,126534,166595
6400,126990,166437
6400,126628,166346
6400,127056,166405
6500,129630,168996
6500,129240,169316
6500,128966,169461
6500,129562,169269
6500,129120,169483
6600,131038,172564
6600,131014,172330
6600,131624,171689
6600,131308,172322
6600,131450,172312
6700,133294,175378
6700,133738,175185
6700,133878,175446
6700,133720,175213
6700,133660,175208
6800,136234,178035
6800,136312,178075
6800,136164,178085
6800,135554,178531
6800,136234,178369
6900,138420,181182
6900,138414,181265
6900,138026,181215
6900,138426,180999
6900,138486,181043
7000,140798,183882
7000,140582,184066
7000,140568,183983
7000,140500,184188
7000,140130,184133
7100,142446,186998
7100,142512,187270
7100,142160,187438
7100,142780,186912
7100,142920,186747
7200,145268,189827
7200,144892,190024
7200,144614,189954
7200,145202,189814
7200,144778,190149
7300,147636,192769
7300,146890,193090
7300,146926,193153
7300,147420,192837
7300,147480,192831
7400,149234,195953
7400,149564,195947
7400,149338,196207
7400,149920,195953
7400,149934,195777
7500,152376,198514
7500,151708,198931
7500,151870,199197
7500,152128,198834
7500,151864,198730
7600,154156,202263
7600,153858,202200
7600,154304,201707
7600,154314,201883
7600,153880,201821
7700,156534,205041
7700,156746,204839
7700,156672,204776
7700,156904,204607
7700,156032,204981
7800,158928,207946
7800,158674,208145
7800,158586,207918
7800,158716,208025
7800,158934,207945
7900,160870,211156
7900,160998,210820
7900,161238,210867
7900,160690,211063
7900,161116,210809
8000,163858,213690
8000,163250,214105
8000,163912,213738
8000,163372,213952
8000,163070,214196
8100,165334,217002
8100,165586,217088
8100,165934,216935
8100,165398,217059
8100,165412,216842
8200,168030,220014
8200,167932,220054
8200,167696,219972
8200,168174,219828
8200,168096,220026
8300,170626,222525
8300,170812,222763
8300,170424,222848
8300,170366,222847
8300,170704,222614
8400,172808,225694
8400,172940,225810
8400,172334,225912
8400,172668,225982
8400,172306,226211
8500,175286,228529
8500,175488,228688
8500,175300,228860
8500,175002,228725
8500,174974,228665
8600,177662,231507
8600,177432,231546
8600,177606,231720
