n,make_set,find_set,union,total
100,300,2612,318,3230
200,600,5242,637,6479
300,900,7916,934,9750
400,1200,10516,1235,12951
500,1500,13260,1559,16319
600,1800,15744,1872,19416
700,2100,18458,2179,22737
800,2400,21286,2470,26156
900,2700,23798,2794,29292
1000,3000,26608,3064,32672
1100,3300,29208,3400,35908
1200,3600,31906,3680,39186
1300,3900,34496,4074,42470
1400,4200,37186,4329,45715
1500,4500,39670,4698,48868
1600,4800,42312,4952,52064
1700,5100,44990,5273,55363
1800,5400,47696,5588,58684
1900,5700,50344,5881,61925
2000,6000,53286,6195,65481
2100,6300,55794,6545,68639
2200,6600,58058,6801,71459
2300,6900,61212,7132,75244
2400,7200,63690,7446,78336
2500,7500,66264,7741,81505
2600,7800,68786,8009,84595
2700,8100,71542,8361,88003
2800,8400,74264,8711,91375
2900,8700,77164,9029,94893
3000,9000,79616,9342,97958
3100,9300,82094,9557,100951
3200,9600,84684,9974,104258
3300,9900,87104,10236,107240
3400,10200,90630,10591,111421
3500,10500,92818,10866,114184
3600,10800,95410,11142,117352
3700,11100,97892,11482,120474
3800,11400,100930,11756,124086
3900,11700,103426,12088,127214
4000,12000,105796,12468,130264
4100,12300,108372,12770,133442
4200,12600,111364,13022,136986
4300,12900,114890,13365,141155
4400,13200,116346,13721,143267
4500,13500,119392,13993,146885
4600,13800,122330,14256,150386
4700,14100,124480,14620,153200
4800,14400,127222,14852,156474
4900,14700,129970,15219,159889
5000,15000,132748,15491,163239
5100,15300,135618,15838,166756
5200,15600,138148,16100,169848
5300,15900,140816,16473,173189
5400,16200,142916,16909,176025
5500,16500,145650,17063,179213
5600,16800,148600,17360,182760
5700,17100,150962,17697,185759
5800,17400,153592,17988,188980
5900,17700,156780,18363,192843
6000,18000,159474,18556,196030
6100,18300,161486,18966,198752
6200,18600,164428,19241,202269
6300,18900,167346,19438,205684
6400,19200,169706,19803,208709
6500,19500,172380,20212,212092
6600,19800,175282,20504,215586
6700,20100,177916,20740,218756
6800,20400,180626,21199,222225
6900,20700,183334,21427,225461
7000,21000,185796,21646,228442
7100,21300,188340,22011,231651
7200,21600,191238,22332,235170
7300,21900,194084,22712,238696
7400,22200,196604,22928,241732
7500,22500,199816,23259,245575
7600,22800,201728,23477,248005
7700,23100,204468,23679,251247
7800,23400,207512,24164,255076
7900,23700,209556,24512,257768
8000,24000,212006,24685,260691
8100,24300,214862,25100,264262
8200,24600,217342,25333,267275
8300,24900,220360,25787,271047
8400,25200,223378,26140,274718
8500,25500,225634,26378,277512
8600,25800,228292,26702,280794
8700,26100,231354,26981,284435
8800,26400,233902,27105,287407
8900,26700,237254,27486,291440
9000,27000,238928,27921,293849
9100,27300,241636,28186,297122
9200,27600,244700,28454,300754
9300,27900,246704,28759,303363
9400,28200,249042,29063,306305
9500,28500,252320,29455,310275
9600,28800,255708,29641,314149
9700,29100,258206,29979,317285
9800,29400,260218,30370,319988
9900,29700,262714,30663,323077
10000,30000,265682,31003,326685
