Row Labels,Average of  k==5,Average of  k==100,Average of  k==10
100,491,2475,737
200,1236,3641,1613
300,1933,5305,2517
400,2585,6669,3734
500,3262,8895,4655
600,3917,10663,5687
700,4671,12683,6641
800,5299,14565,7741
900,5973,17010,8689
1000,6751,19526,9729
1100,7342,21028,10896
1200,8091,23605,11879
1300,8490,25727,12933
1400,9384,27487,13968
1500,9935,31299,14818
1600,10819,32655,15911
1700,11526,34734,16913
1800,12356,36359,18273
1900,12828,39446,19027
2000,13355,42065,19936
2100,14346,44048,20738
2200,15181,47209,22096
2300,15431,49105,22948
2400,16041,50710,23926
2500,16860,53650,25289
2600,17838,55425,26212
2700,18696,59427,27104
2800,18782,60686,28177
2900,19849,62791,28935
3000,20331,65358,30262
3100,20884,67208,31761
3200,21903,69484,32185
3300,22573,71854,33549
3400,23240,74362,34038
3500,24345,76723,35157
3600,24477,79690,36310
3700,25573,81733,37638
3800,26200,84439,38401
3900,26772,85923,39174
4000,27545,88394,40131
4100,28240,91155,41715
4200,28583,92031,42729
4300,29474,95761,43507
4400,30106,97953,44419
4500,30961,101071,45844
4600,31628,102788,46615
4700,32155,105268,48252
4800,32920,109091,48928
4900,33438,110094,49942
5000,34689,112741,51486
5100,35314,114837,51770
5200,35579,116541,53245
5300,36464,118589,54258
5400,37439,123281,54482
5500,37778,123600,56024
5600,38736,125795,56957
5700,39506,128413,58076
5800,40003,130963,58924
5900,40830,133297,60466
6000,41280,135084,60646
6100,41855,139019,62546
6200,42297,140355,63017
6300,42959,142701,63569
6400,44148,145402,64831
6500,44999,147940,66814
6600,45366,149858,67217
6700,45536,153313,68275
6800,46713,155171,68840
6900,47643,159354,70422
7000,47922,159256,71391
7100,48804,161319,72325
7200,49683,165861,73315
7300,50157,165976,74292
7400,50832,169169,74719
7500,51469,170237,76725
7600,52380,174304,77472
7700,53728,175632,78448
7800,53622,178523,79033
7900,54768,181448,80768
8000,54815,182473,81876
8100,56142,187025,82402
8200,56410,187640,84591
8300,56737,189626,84376
8400,58276,193736,84946
8500,58935,195865,86763
8600,58946,196171,88179
8700,59227,199448,88978
8800,60458,203484,90507
8900,61415,206302,90656
9000,62414,206805,91727
9100,63093,209584,92872
9200,64329,212362,93503
9300,63907,214638,94666
9400,63995,217000,96246
9500,66123,218703,97241
9600,65342,221227,98706
9700,66876,222577,98647
9800,67208,224865,100851
9900,68089,227649,100797
10000,68499,229771,102393
Grand Total,34683.51,113941.98,51335.55
