Row Labels,Average of  A+C
10,101683
20,138941
30,158374
40,179572
50,191253
60,197794
70,206628
80,217858
90,224688
100,229428
110,232732
120,238131
130,239371
140,246078
150,250536
160,252378
170,253700
180,260414
190,261482
200,267884
210,267975
220,271035
230,271920
240,273828
250,276655
260,276164
270,280030
280,275888
290,281089
300,284904
310,288596
320,287905
330,288715
340,291117
350,290224
360,286877
370,296389
380,294540
390,291757
400,300367
410,295119
420,290705
430,298002
440,294430
450,299848
460,295016
470,300992
480,294407
490,303769
500,308268
Grand Total,260109.12
